"id","timestamp","user_id","message","reply","action_type","gemini_call","gemini_output_url","created_at"
"1","2025-06-09 22:29:04.161873","U61539d6d1bd2f05b77ea99c84332ce93","Test","⚠️ 請先輸入 new / 開始 啟動對話。","sync reply","false",,"2025-06-09 22:29:04.161873"
"2","2025-06-09 22:29:14.901738","U61539d6d1bd2f05b77ea99c84332ce93","new","🆕 新對話開始。
請選擇功能或直接傳送語音訊息：","sync reply","false",,"2025-06-09 22:29:14.901738"
"3","2025-06-09 22:30:05.818411","U61539d6d1bd2f05b77ea99c84332ce93","衛教","✅ 已進入『衛教』模式，請輸入：疾病名稱 + 衛教主題。
⏳ 生成約需 10-20 秒...","sync reply","false",,"2025-06-09 22:30:05.818411"
"4","2025-06-09 22:30:32.570715","U61539d6d1bd2f05b77ea99c84332ce93","糖尿病 飲食控制","✅ 中文版衛教內容已生成。","Gemini reply","true","https://drive.google.com/file/d/1UKUyEsdFASjN3G-WBpwMhKexEU2n-JEZ/view","2025-06-09 22:30:32.570715"
"5","2025-06-09 22:33:19.881031","U61539d6d1bd2f05b77ea99c84332ce93","New","🆕 新對話開始。
請選擇功能或直接傳送語音訊息：","sync reply","false",,"2025-06-09 22:33:19.881031"
"6","2025-06-09 22:33:26.488286","U61539d6d1bd2f05b77ea99c84332ce93","衛教","✅ 已進入『衛教』模式，請輸入：疾病名稱 + 衛教主題。
⏳ 生成約需 10-20 秒...","sync reply","false",,"2025-06-09 22:33:26.488286"
"7","2025-06-09 22:35:20.884043","U61539d6d1bd2f05b77ea99c84332ce93","糖尿病 飲食控制","✅ 中文版衛教內容已生成。","Gemini reply","true","https://drive.google.com/file/d/1eZvr9yxcSDza_kerhXdShldiJUE_19Mg/view","2025-06-09 22:35:20.884043"
"8","2025-06-09 23:05:27.680972","U61539d6d1bd2f05b77ea99c84332ce93","New","🆕 新對話開始。
請選擇功能或直接傳送語音訊息：","sync reply","false",,"2025-06-09 23:05:27.680972"
"9","2025-06-09 23:06:18.568891","U61539d6d1bd2f05b77ea99c84332ce93","You got stemi need pci stat, contrast allergy?","您是否想表達：
您有急性心肌梗塞，需要馬上做心導管手術。請問您對顯影劑會過敏嗎？

You have acute myocardial infarction and need immediate cardiac catheterization surgery. Are you allergic to contrast dye? Do you understand the translation?","medchat","true","https://drive.google.com/file/d/10EjDNcmnfsKnhRLcMr0XRV81Dm4QbP6b/view","2025-06-09 23:06:18.568891"
"10","2025-06-09 23:29:05.949405","U61539d6d1bd2f05b77ea99c84332ce93","new","🆕 新對話開始。
請選擇功能或直接傳送語音訊息：","sync reply","false",,"2025-06-09 23:29:05.949405"
"11","2025-06-09 23:29:22.511876","U61539d6d1bd2f05b77ea99c84332ce93","衛教","✅ 已進入『衛教』模式，請輸入：疾病名稱 + 衛教主題。
⏳ 生成約需 10-20 秒...","sync reply","false",,"2025-06-09 23:29:22.511876"
"12","2025-06-09 23:30:07.040983","U61539d6d1bd2f05b77ea99c84332ce93","氣喘 環境控制","✅ 中文版衛教內容已生成。","Gemini reply","true","https://drive.google.com/file/d/1GJQKAZQHJuXnuqayL3Jdm6KBCHowz1c4/view","2025-06-09 23:30:07.040983"
"13","2025-06-10 00:37:15.860502","U61539d6d1bd2f05b77ea99c84332ce93","Test","⚠️ 請先輸入 new / 開始 啟動對話。","sync reply","false",,"2025-06-10 00:37:15.860505"
"14","2025-06-10 00:37:23.355073","U61539d6d1bd2f05b77ea99c84332ce93","new","🆕 新對話開始。
請選擇功能或直接傳送語音訊息：","sync reply","false",,"2025-06-10 00:37:23.355076"
"15","2025-06-10 00:37:40.893893","U61539d6d1bd2f05b77ea99c84332ce93","衛教","✅ 已進入『衛教』模式，請輸入：疾病名稱 + 衛教主題。
⏳ 生成約需 10-20 秒...","sync reply","false",,"2025-06-10 00:37:40.893898"
